Seconds,Experiment 1,Experiment 2,Experiment 3,Experiment 4,Experiment 5
203.511,1.79032,1.977929585,2.488339,1.556941,2.176817
204.011,1.790432,1.975704485,2.488042,1.556074,2.174456
204.511,1.789036,1.975123357,2.487522,1.555613,2.172269
205.011,1.788673,1.973566407,2.486894,1.555268,2.172169
205.511,1.78886,1.972208091,2.486406,1.554273,2.169399
206.011,1.787193,1.969516687,2.485894,1.553641,2.164293
206.511,1.787395,1.969489918,2.483996,1.552814,2.163261
207.011,1.787005,1.968877336,2.481735,1.552402,2.158949
207.511,1.785921,1.967060699,2.481286,1.551781,2.157145
208.011,1.784345,1.965956544,2.480426,1.551108,2.153109
208.511,1.782671,1.964344173,2.479648,1.55009,2.148748
209.011,1.781576,1.963413508,2.478881,1.549138,2.143841
209.511,1.781077,1.960955334,2.477633,1.548629,2.142912
210.011,1.780591,1.959408076,2.477346,1.547668,2.139961
210.511,1.779625,1.959364913,2.476208,1.546763,2.138883
211.011,1.777494,1.95908065,2.476,1.545972,2.136379
211.511,1.773935,1.958292038,2.475516,1.545464,2.134576
212.011,1.773833,1.957638704,2.475209,1.544466,2.131233
212.511,1.772887,1.955461269,2.474129,1.543954,2.130211
213.011,1.772238,1.954828319,2.4723,1.542514,2.126344
213.511,1.769847,1.953951918,2.471596,1.542255,2.124549
214.011,1.768287,1.953194905,2.471505,1.541263,2.121181
214.511,1.765406,1.950756677,2.470281,1.540888,2.119228
215.011,1.764038,1.950400066,2.470897,1.539199,2.114731
215.511,1.763565,1.949397911,2.470127,1.538211,2.111446
216.011,1.761479,1.948509202,2.469041,1.536775,2.108101
216.511,1.759357,1.946208558,2.468435,1.536425,2.107189
217.011,1.757597,1.94484261,2.46764,1.535994,2.104248
217.511,1.756447,1.941629517,2.467246,1.534453,2.101954
218.011,1.75612,1.94105265,2.466162,1.533793,2.100504
218.511,1.756079,1.940921391,2.464996,1.532638,2.098262
219.011,1.755371,1.940243443,2.465522,1.532528,2.096481
219.511,1.753288,1.938934473,2.464953,1.530889,2.093713
220.011,1.752812,1.938091395,2.46344,1.529823,2.091716
220.511,1.752211,1.935696264,2.46265,1.529045,2.089512
221.011,1.751086,1.93441371,2.462279,1.528434,2.088735
221.511,1.747888,1.93406173,2.461624,1.527552,2.086075
222.011,1.747618,1.934155215,2.461295,1.527173,2.084251
222.511,1.746636,1.932790895,2.460127,1.526861,2.082009
223.011,1.745016,1.9323252,2.459769,1.525558,2.07737
223.511,1.743469,1.930813687,2.459204,1.525543,2.074642
224.011,1.742,1.929527721,2.458442,1.525327,2.073509
224.511,1.740576,1.928586891,2.456948,1.524586,2.073227
225.011,1.738643,1.928089498,2.455705,1.523963,2.068062
225.511,1.738675,1.926976824,2.455144,1.523195,2.069005
226.011,1.735772,1.926197358,2.453912,1.522939,2.0665
226.511,1.73417,1.926246682,2.453541,1.522819,2.064432
227.011,1.733576,1.924228964,2.453071,1.522523,2.062427
227.511,1.732671,1.923468742,2.451629,1.521786,2.060905
228.011,1.732348,1.922771569,2.451318,1.52118,2.060139
228.511,1.731639,1.921567316,2.450407,1.521023,2.05894
229.011,1.729363,1.920270844,2.448841,1.520385,2.056427
